23953,22119,460
23953,22698,344
23953,23947,688
23953,4135,855
26242,23952,408
26242,22119,460
26242,22698,344
26242,23947,688
26242,4135,855
10974,23952,408
10974,22119,460
10974,22698,344
10974,23947,688
10974,4135,855
4481,23952,408
4481,22119,460
4481,22698,344
4481,23947,688
4481,4135,855
24053,23952,408
24053,22119,460
24053,22698,344
24053,23947,688
24053,4135,855
12189,23952,408
12189,22119,460
12189,22698,344
12189,23947,688
12189,4135,855
24054,23952,408
24054,22119,460
24054,22698,344
24054,23947,688
24054,4135,855
4482,23952,408
4482,22119,460
4482,22698,344
4482,23947,688
4482,4135,855
13657,6724,353
13657,4135,487
13657,22119,890
13657,23952,959
13657,23947,864
10897,6724,353
10897,4135,487
10897,22119,890
10897,23952,959
10897,23947,864
6720,6724,353
6720,4135,487
6720,22119,890
6720,23952,959
6720,23947,864
12109,6724,353
12109,4135,487
12109,22119,890
12109,23952,959
12109,23947,864
6719,6724,353
6719,4135,487
6719,22119,890
6719,23952,959
6719,23947,864
18509,6724,353
18509,4135,487
18509,22119,890
18509,23952,959
18509,23947,864
6724,13657,353
6724,4135,653
6724,22119,1019
6724,23952,1095
6724,23947,1095
6723,13657,353
6723,4135,653
6723,22119,1019
6723,23952,1095
6723,23947,1095
12090,13657,353
12090,4135,653
12090,22119,1019
12090,23952,1095
12090,23947,1095
10879,13657,353
10879,4135,653
10879,22119,1019
10879,23952,1095
10879,23947,1095
22212,13657,353
22212,4135,653
22212,22119,1019
22212,23952,1095
22212,23947,1095
24049,6716,617
24049,4477,1155
24049,23947,1337
24049,22698,1650
24049,23952,1637
